Cuvee_ID,Provenance,statut,Cave_id,Ajouté_le,Emplacement,Prix
213,Cadeau JM Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
214,Achat Soirée Mimile 2020,bue,2,14/07/2020,Clayette 1,"12,00"
214,Achat Soirée Mimile 2020,bue,2,14/07/2020,Clayette 1,"12,00"
215,Achat Soirée Mimile 2020,bue,2,14/07/2020,,"12,00"
218,SVI Dec 21,bue,2,02/12/2021,,"15,00"
221,Foire aux vins wineinblack 2014,bue,2,08/09/2014,Clayette 7,"17,00"
221,Foire aux vins wineinblack 2014,bue,2,08/09/2014,Clayette 7,"17,00"
221,Foire aux vins wineinblack 2014,bue,2,08/09/2014,Clayette 7,"17,00"
221,Foire aux vins wineinblack 2014,bue,2,08/09/2014,Clayette 7,"17,00"
222,Achat Vinymer 2015,bue,2,06/08/2015,,"8,00"
222,Achat Vinymer 2015,bue,2,06/08/2015,,"8,00"
222,Achat Vinymer 2015,bue,2,06/08/2015,,"8,00"
225,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 4 & 5 & 6,"12,00"
225,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 4 & 5 & 6,"12,00"
225,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 4 & 5 & 6,"12,00"
225,1jour1vin Janvier 2015,bue,2,02/02/2015,Clayette 4 & 5 & 6,"12,00"
226,Vente Privée Aout 2019,bue,2,14/09/2019,Clayette 1,"28,00"
227,Vente Privée Aout 2019,bue,2,14/09/2019,Clayette 5,"16,00"
227,Vente Privée Aout 2019,bue,2,14/09/2019,Clayette 5,"16,00"
228,Achats Vignerons Indep Avril 2015,bue,2,12/05/2015,,"26,00"
228,Achats Vignerons Indep Avril 2015,bue,2,12/05/2015,,"26,00"
230,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 1,"13,50"
230,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 1,"13,50"
230,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 1,"13,50"
231,Achat Vouvray Avril 2013,bue,2,10/08/2013,Clayette 2,"0,00"
235,Achat Soirée Mimile 2020,bue,2,14/07/2020,,"7,00"
235,Achat Soirée Mimile 2020,bue,2,14/07/2020,,"7,00"
240,Achat Vinymer 2015,bue,2,06/08/2015,,"7,00"
240,Achat Vinymer 2015,bue,2,06/08/2015,,"7,00"
241,Achat Vinymer 2015,bue,2,06/08/2015,Clayette 1,"9,70"
242,Cadeau Noël Hourlier 2015,bue,2,26/12/2015,,"0,00"
243,Cadeau Noël Hourlier 2013,bue,2,26/12/2013,Clayette 3,"0,00"
244,Cadeau JM Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
245,fav Vente Privée 2016,bue,2,15/10/2016,Clayette 1,"13,00"
249,Achat FaV Guillaume,bue,2,15/10/2016,Clayette 6,"13,00"
249,Achat FaV Guillaume,bue,2,15/10/2016,Clayette 6,"13,00"
249,Achat FaV Guillaume,bue,2,15/10/2016,Clayette 6,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
250,WIB Jan 15,bue,2,27/01/2015,Clayette 4& 5,"13,00"
251,SVI Nov 2019,bue,2,29/11/2019,Clayette 1,"35,00"
251,SVI Nov 2019,bue,2,29/11/2019,Clayette 1,"35,00"
255,Tarasteix,bue,2,24/07/2012,Clayette 2,"0,00"
255,Tarasteix,bue,2,24/07/2012,Clayette 2,"0,00"
255,Tarasteix,bue,2,24/07/2012,Clayette 2,"0,00"
258,SVI Mars 2017,bue,2,28/04/2017,,"20,00"
258,SVI Mars 2017,bue,2,28/04/2017,,"20,00"
258,SVI Mars 2017,bue,2,28/04/2017,,"20,00"
259,Achat 1j1v Jan 18,bue,2,25/04/2018,,"25,00"
262,SVI Dec 21,bue,2,02/12/2021,,
265,Thomas soirée Dec 2016,bue,2,29/12/2016,,"0,00"
266,Achat WineandCO Dec 2014,bue,2,04/12/2014,Clayette 2,"15,50"
267,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,,"16,50"
267,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,,"16,50"
267,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,,"16,50"
267,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,,"16,50"
269,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,Clayettes 3& 5,"11,00"
269,Achat 1j1v 24 Fevrier 2016,bue,2,29/04/2016,Clayettes 3& 5,"11,00"
270,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 4 & 6,"10,00"
270,Achat Salon des vignerons Mars 14,bue,2,30/03/2014,Clayette 4 & 6,"10,00"
271,Achat Guillaume,bue,2,02/12/2017,Clayete 1,"21,00"
272,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayette 2,"19,70"
273,Achat Guillaume,bue,2,02/12/2017,Clayete 1,"21,00"
276,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayette 5,"15,20"
277,Achat wineandco Avril 2016,bue,2,08/04/2016,Clayette 5,"17,90"
281,Achat Vente privée Nov 2015,bue,2,27/02/2016,,"39,00"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
284,SVI Mars 2017,bue,2,28/04/2017,,"10,50"
286,WE Sancerre Mai 2015,bue,2,08/05/2015,,"18,00"
286,WE Sancerre Mai 2015,bue,2,08/05/2015,,"18,00"
287,WE Sancerre Mai 2015,bue,2,08/05/2015,,"18,00"
287,WE Sancerre Mai 2015,bue,2,08/05/2015,,"18,00"
287,WE Sancerre Mai 2015,bue,2,08/05/2015,,"18,00"
288,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"8,00"
288,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"8,00"
288,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 1 & 3,"8,00"
289,SVI Mars 2018,bue,2,10/04/2018,,"28,50"
291,Cadeau de Noel Nadine 2018,bue,2,07/01/2019,Clayette 1,"0,00"
292,Foire aux vins wineandco 2014,bue,2,17/09/2014,Clayette 6 & 7,"17,00"
292,Foire aux vins wineandco 2014,bue,2,17/09/2014,Clayette 6 & 7,"17,00"
292,Foire aux vins wineandco 2014,bue,2,17/09/2014,Clayette 6 & 7,"17,00"
292,Foire aux vins wineandco 2014,bue,2,17/09/2014,Clayette 6 & 7,"17,00"
292,Foire aux vins wineandco 2014,bue,2,17/09/2014,Clayette 6 & 7,"17,00"
293,Achat WIB Mars 2016,bue,2,18/03/2016,,"13,00"
296,Achat WIB Guillaume,bue,2,25/06/2016,Clayette 1,"20,00"
296,Achat WIB Guillaume,bue,2,25/06/2016,Clayette 1,"20,00"
298,SVI Dec 21,bue,2,02/12/2021,,"10,00"
299,SVI Mars 2018,bue,2,10/04/2018,,"16,50"
299,SVI Mars 2018,bue,2,10/04/2018,,"16,50"
299,SVI Mars 2018,bue,2,10/04/2018,,"16,50"
300,SVI Mars 2017,bue,2,28/04/2017,,"21,50"
300,SVI Mars 2017,bue,2,28/04/2017,,"21,50"
300,SVI Mars 2017,bue,2,28/04/2017,,"21,50"
300,SVI Mars 2017,bue,2,28/04/2017,,"21,50"
301,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 7,"9,00"
301,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 7,"9,00"
301,Salon des VI Mars 2015,bue,2,29/03/2015,Clayette 7,"9,00"
302,Salon des VI Mars 2015,bue,2,29/03/2015,,"16,00"
306,"Achat Papa, jamais payé",bue,2,01/05/2017,,"0,00"
308,Achat papa,bue,2,01/02/2020,,"0,00"
309,Achat papa,bue,2,01/02/2020,Clayette 1,"12,00"
309,Achat papa,bue,2,01/02/2020,Clayette 1,"12,00"
309,Achat papa,bue,2,01/02/2020,Clayette 1,"12,00"
309,Achat papa,bue,2,01/02/2020,Clayette 1,"12,00"
310,Ventes Privées Mai 2017,bue,2,01/07/2017,Clayette 3,"34,00"
310,Ventes Privées Mai 2017,bue,2,01/07/2017,Clayette 3,"34,00"
311,Cadeau Grands Parents Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
311,Cadeau Grands Parents Hourlier Noël 2016,bue,2,24/12/2016,,"0,00"
313,Foire aux vins 2014 (monop),bue,2,10/09/2014,,"20,00"
314,Achat 1j1v Juin 2016,bue,2,11/07/2016,Clayette 7,"12,00"
