Appellation,Domaine,Cuvée,Année,date_deg_min
2974,Stéphane Ogier,Le temps est venu,2014,2022
2084,Sylvain Ponsot-Vouvry,,2014,2022
210,Sylvie Spielmann,Kanzlerberg,2011,2022
217,Sylvie Spielmann,Kanzlerberg,2011,2022
2325,Tixier,Blanc de blanc,2020,
2326,Tixier,Suprême,2016,
2509,Toques et Clochers,,2010,2022
2748,Tour Saint Martin,Fumet,2019,2023
2748,Tour Saint Martin,Morogues,2020,2023
2748,Tour Saint Martin,Morogues,2016,2022
2325,Tsarine,,2010,
2782,Vacheron,Guigne Chèvres,2013,2018
2782,Vacheron,Les Romains,2013,2018
2962,Vidal Fleury,,2009,2016
2962,Vidal Fleury,Brune et Blonde,2009,2022
2782,Vincent Pinard,Florès,2013,2016
2782,Vincent Pinard,Harmonie,2013,2018
2782,Vincent Pinard,Harmonie,2014,2019
804,Vissoux,Pierreux,2015,2022
3152,Vullien,Jacquère,2020,
3157,Vullien,,2020,
2954,Xavier Vignon,Cuvée anonyme,2009,2022
3025,Yann Chave,,2016,2020
2668,Yannick Amirault,La coudraye,2015,2022
2668,Yannick Amirault,La petite cave,2014,2019
2668,Yannick Amirault,Le grand clos,2011,2016
2668,Yannick Amirault,Les quartiers,2014,2018
3075,Yves Cuilleron,Roussane,2018,2022
3053,Yves Cuilleron,L’Amarybelle,2014,2019
2974,Yves Cuilleron,Les vignes d’a côté,2015,2022
2890,Yves Leccia,Croce,2016,2019
